"idgames","user_score","global_sales"
4185,5.7,0.32
4198,5.7,0.32
4243,5.7,0.32
4423,5.7,0.29
4483,5.7,0.29
4627,5.7,0.27
4694,5.7,0.27
4726,5.7,0.26
5004,5.7,0.24
5094,5.7,0.23
5408,5.7,0.2
5540,5.7,0.19
5664,5.7,0.19
5789,5.7,0.18
5952,5.7,0.17
5974,5.7,0.17
6108,5.7,0.16
6197,5.7,0.15
6392,5.7,0.14
6399,5.7,0.14
6416,5.7,0.14
6494,5.7,0.14
6666,5.7,0.13
6769,5.7,0.12
7018,5.7,0.11
7189,5.7,0.11
7328,5.7,0.1
7421,5.7,0.1
7653,5.7,0.09
7674,5.7,0.09
7716,5.7,0.09
8051,5.7,0.08
8354,5.7,0.06
8481,5.7,0.06
8862,5.7,0.05
9096,5.7,0.04
9124,5.7,0.04
9145,5.7,0.04
9237,5.7,0.04
9368,5.7,0.03
9737,5.7,0.02
9934,5.7,0.02
9993,5.7,0.02
10015,5.7,0.02
10196,5.7,0.01
10294,5.7,0.01
378,5.8,3.49
462,5.8,3.04
507,5.8,2.86
1126,5.8,1.57
1279,5.8,1.37
1393,5.8,1.26
1496,5.8,1.17
1508,5.8,1.16
1510,5.8,1.16
1584,5.8,1.09
1680,5.8,1.03
1993,5.8,0.86
2044,5.8,0.83
2114,5.8,0.79
2201,5.8,0.75
2262,5.8,0.73
2374,5.8,0.69
2546,5.8,0.63
2672,5.8,0.59
2818,5.8,0.56
2832,5.8,0.56
2910,5.8,0.54
3171,5.8,0.48
3336,5.8,0.45
3390,5.8,0.44
3490,5.8,0.42
3524,5.8,0.42
3571,5.8,0.41
3579,5.8,0.41
3738,5.8,0.39
3791,5.8,0.38
3798,5.8,0.38
3817,5.8,0.37
3884,5.8,0.36
3961,5.8,0.35
4017,5.8,0.34
4068,5.8,0.33
4075,5.8,0.33
4139,5.8,0.33
4162,5.8,0.32
4315,5.8,0.31
4348,5.8,0.3
4391,5.8,0.29
4558,5.8,0.28
4583,5.8,0.28
4594,5.8,0.27
4600,5.8,0.27
4652,5.8,0.27
4745,5.8,0.26
4757,5.8,0.26
5049,5.8,0.23
5095,5.8,0.23
5211,5.8,0.22
5313,5.8,0.21
5438,5.8,0.2
