,developer
1189,SNK
1190,Black Hole Games
1191,Frima Studio
1192,"EA Tiburon, n-Space"
1193,Halfbrick Studios
1194,WorkJam
1195,Void Productions
1196,Trickstar Games
1197,Santa Entertainment
1198,Digital Embryo
1199,Micro Cabin
1200,Big Head Games Ltd.
1201,Guildford Studio
1202,Big Blue Entertainment
1203,"Amaze Entertainment, Vivendi Games"
1204,Supersonic Software
1205,Bionic Games
1206,Various
1207,Amanita Design
1208,"Aqua Pacific, In2Games"
1209,BeeWorks
1210,Mere Mortals
1211,Coyote Console
1212,Happy Happening
1213,Zed Two Limited
1214,Pentavision Entertainment
1215,XPEC Entertainment Inc.
1216,Behavior Studios
1217,Immersion Software & Graphics
